Initial Condition,E6_Temperature,E1_HeatFlux
0,50,-20
0,100,-20
0,150,-20
0,200,-20
0,250,-20
0,300,-20
0,350,-20
0,400,-20
10,50,-20
10,100,-20
10,150,-20
10,200,-20
10,250,-20
10,300,-20
10,350,-20
10,400,-20
20,50,-20
20,100,-20
20,150,-20
20,200,-20
20,250,-20
20,300,-20
20,350,-20
20,400,-20
30,50,-20
30,100,-20
30,150,-20
30,200,-20
30,250,-20
30,300,-20
30,350,-20
30,400,-20
40,50,-20
40,100,-20
40,150,-20
40,200,-20
40,250,-20
40,300,-20
40,350,-20
40,400,-20
50,50,-20
50,100,-20
50,150,-20
50,200,-20
50,250,-20
50,300,-20
50,350,-20
50,400,-20
0,50,-10
0,100,-10
0,150,-10
0,200,-10
0,250,-10
0,300,-10
0,350,-10
0,400,-10
10,50,-10
10,100,-10
10,150,-10
10,200,-10
10,250,-10
10,300,-10
10,350,-10
10,400,-10
20,50,-10
20,100,-10
20,150,-10
20,200,-10
20,250,-10
20,300,-10
20,350,-10
20,400,-10
30,50,-10
30,100,-10
30,150,-10
30,200,-10
30,250,-10
30,300,-10
30,350,-10
30,400,-10
40,50,-10
40,100,-10
40,150,-10
40,200,-10
40,250,-10
40,300,-10
40,350,-10
40,400,-10
50,50,-10
50,100,-10
50,150,-10
50,200,-10
50,250,-10
50,300,-10
50,350,-10
50,400,-10
0,50,0
0,100,0
0,150,0
0,200,0
0,250,0
0,300,0
0,350,0
0,400,0
10,50,0
10,100,0
10,150,0
10,200,0
10,250,0
10,300,0
10,350,0
10,400,0
20,50,0
20,100,0
20,150,0
20,200,0
20,250,0
20,300,0
20,350,0
20,400,0
30,50,0
30,100,0
30,150,0
30,200,0
30,250,0
30,300,0
30,350,0
30,400,0
40,50,0
40,100,0
40,150,0
40,200,0
40,250,0
40,300,0
40,350,0
40,400,0
50,50,0
50,100,0
50,150,0
50,200,0
50,250,0
50,300,0
50,350,0
50,400,0
0,50,10
0,100,10
0,150,10
0,200,10
0,250,10
0,300,10
0,350,10
0,400,10
10,50,10
10,100,10
10,150,10
10,200,10
10,250,10
10,300,10
10,350,10
10,400,10
20,50,10
20,100,10
20,150,10
20,200,10
20,250,10
20,300,10
20,350,10
20,400,10
30,50,10
30,100,10
30,150,10
30,200,10
30,250,10
30,300,10
30,350,10
30,400,10
40,50,10
40,100,10
40,150,10
40,200,10
40,250,10
40,300,10
40,350,10
40,400,10
50,50,10
50,100,10
50,150,10
50,200,10
50,250,10
50,300,10
50,350,10
50,400,10
0,50,20
0,100,20
0,150,20
0,200,20
0,250,20
0,300,20
0,350,20
0,400,20
10,50,20
10,100,20
10,150,20
10,200,20
10,250,20
10,300,20
10,350,20
10,400,20
20,50,20
20,100,20
20,150,20
20,200,20
20,250,20
20,300,20
20,350,20
20,400,20
30,50,20
30,100,20
30,150,20
30,200,20
30,250,20
30,300,20
30,350,20
30,400,20
40,50,20
40,100,20
40,150,20
40,200,20
40,250,20
40,300,20
40,350,20
40,400,20
50,50,20
50,100,20
50,150,20
50,200,20
50,250,20
50,300,20
50,350,20
50,400,20
